Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P36993-3|PPM1B_MOUSE	P36993-3	PPM1B_MOUSE	Ppm1b	393	Mus musculus	Isoform 2 of Protein phosphatase 1B		27.23	1.0000	0.9990	7	0	7	7	0	7	     0	     0	     0	14C(57.0214), 5C(57.0214), 9C(57.0214)		sp|P36993-4|PPM1B_MOUSE, sp|P36993-5|PPM1B_MOUSE, sp|P36993|PPM1B_MOUSE, tr|Q99NF7|Q99NF7_MOUSE
sp|P37040|NCPR_MOUSE	P37040	NCPR_MOUSE	Por	678	Mus musculus	NADPH--cytochrome P450 reductase	1:Experimental evidence at protein level	1.33	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|P37804|TAGL_MOUSE	P37804	TAGL_MOUSE	Tagln	201	Mus musculus	Transgelin	1:Experimental evidence at protein level	71.14	1.0000	0.9990	14	6	14	24	11	24	     0	     0	     0	3M(15.9949), 8M(15.9949), 9C(57.0214)		
sp|P38060|HMGCL_MOUSE	P38060	HMGCL_MOUSE	Hmgcl	325	Mus musculus	Hydroxymethylglutaryl-CoA lyase, mitochondrial	1:Experimental evidence at protein level	8.62	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	9C(57.0214)		
sp|P38647|GRP75_MOUSE	P38647	GRP75_MOUSE	Hspa9	679	Mus musculus	Stress-70 protein, mitochondrial	1:Experimental evidence at protein level	58.76	1.0000	0.9990	38	37	38	101	100	101	     0	     0	     0	12M(15.9949), 13C(57.0214), 13M(15.9949), 14C(57.0214), 1M(15.9949), 6M(15.9949)		
sp|P39061-1|COIA1_MOUSE	P39061-1	COIA1_MOUSE	Col18a1	1527	Mus musculus	Isoform 2 of Collagen alpha-1(XVIII) chain		1.11	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			sp|P39061-2|COIA1_MOUSE, sp|P39061|COIA1_MOUSE, tr|E9QPX1|E9QPX1_MOUSE
sp|P40124|CAP1_MOUSE	P40124	CAP1_MOUSE	Cap1	474	Mus musculus	Adenylyl cyclase-associated protein 1	1:Experimental evidence at protein level	5.06	1.0000	0.9990	2	0	1	2	0	1	     0	     0	     0	9C(57.0214)		
sp|P40142|TKT_MOUSE	P40142	TKT_MOUSE	Tkt	623	Mus musculus	Transketolase	1:Experimental evidence at protein level	30.18	1.0000	0.9990	13	3	13	18	4	18	     0	     0	     0	19C(57.0214), 4M(15.9949), 5C(57.0214)		
sp|P40336-2|VP26A_MOUSE	P40336-2	VP26A_MOUSE	Vps26a	359	Mus musculus	Isoform 2 of Vacuolar protein sorting-associated protein 26A		8.91	1.0000	0.9990	3	0	3	3	0	3	     0	     0	     0			sp|P40336|VP26A_MOUSE
sp|P40630-2|TFAM_MOUSE	P40630-2	TFAM_MOUSE	Tfam	215	Mus musculus	Isoform Nuclear of Transcription factor A, mitochondrial		17.67	1.0000	0.9990	3	0	3	3	0	3	     0	     0	     0			sp|P40630|TFAM_MOUSE, tr|A0A0R4J1N9|A0A0R4J1N9_MOUSE
sp|P40936|INMT_MOUSE	P40936	INMT_MOUSE	Inmt	264	Mus musculus	Indolethylamine N-methyltransferase	1:Experimental evidence at protein level	6.44	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|P41105|RL28_MOUSE	P41105	RL28_MOUSE	Rpl28	137	Mus musculus	60S ribosomal protein L28	1:Experimental evidence at protein level	21.90	1.0000	0.9990	3	2	3	5	4	5	     0	     0	     0			
sp|P41216|ACSL1_MOUSE	P41216	ACSL1_MOUSE	Acsl1	699	Mus musculus	Long-chain-fatty-acid--CoA ligase 1	1:Experimental evidence at protein level	8.15	1.0000	0.9990	5	0	5	6	0	6	     0	     0	     0			tr|D3Z041|D3Z041_MOUSE
sp|P42125|ECI1_MOUSE	P42125	ECI1_MOUSE	Eci1	289	Mus musculus	Enoyl-CoA delta isomerase 1, mitochondrial	1:Experimental evidence at protein level	60.21	1.0000	0.9990	16	2	16	45	7	45	     0	     0	     0	11C(57.0214), 13C(57.0214), 14M(15.9949), 15M(15.9949), 21C(57.0214), 26C(57.0214), 27C(57.0214), 2M(15.9949)		
sp|P42208|SEPT2_MOUSE	P42208	SEPT2_MOUSE	Septin2	361	Mus musculus	Septin-2	1:Experimental evidence at protein level	20.78	1.0000	0.9990	4	0	4	4	0	4	     0	     0	     0	15C(57.0214)		
sp|P42232|STA5B_MOUSE	P42232	STA5B_MOUSE	Stat5b	786	Mus musculus	Signal transducer and activator of transcription 5B	1:Experimental evidence at protein level	2.93	1.0000	0.9990	2	1	2	2	1	2	     0	     0	     0			
sp|P42669|PURA_MOUSE	P42669	PURA_MOUSE	Pura	321	Mus musculus	Transcriptional activator protein Pur-alpha	1:Experimental evidence at protein level	23.36	1.0000	0.9990	7	7	7	8	8	8	     0	     0	     0	25K(156.1151)		
sp|P42932|TCPQ_MOUSE	P42932	TCPQ_MOUSE	Cct8	548	Mus musculus	T-complex protein 1 subunit theta	1:Experimental evidence at protein level	39.96	1.0000	0.9990	18	0	18	20	0	20	     0	     0	     0	6C(57.0214), 9C(57.0214)		
sp|P43023|CX6A2_MOUSE	P43023	CX6A2_MOUSE	Cox6a2	97	Mus musculus	Cytochrome c oxidase subunit 6A2, mitochondrial	1:Experimental evidence at protein level	42.27	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
sp|P45376|ALDR_MOUSE	P45376	ALDR_MOUSE	Akr1b1	316	Mus musculus	Aldo-keto reductase family 1 member B1	1:Experimental evidence at protein level	64.87	1.0000	0.9990	20	10	20	62	35	62	     0	     0	     0	10C(57.0214), 11M(15.9949), 1M(15.9949), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 5M(15.9949), 7C(57.0214)		
sp|P45591|COF2_MOUSE	P45591	COF2_MOUSE	Cfl2	166	Mus musculus	Cofilin-2	1:Experimental evidence at protein level	75.90	1.0000	0.9990	17	8	17	53	36	53	     0	     0	     0	5C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|P45878|FKBP2_MOUSE	P45878	FKBP2_MOUSE	Fkbp2	140	Mus musculus	Peptidyl-prolyl cis-trans isomerase FKBP2	1:Experimental evidence at protein level	8.57	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|P45952|ACADM_MOUSE	P45952	ACADM_MOUSE	Acadm	421	Mus musculus	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	1:Experimental evidence at protein level	43.94	1.0000	0.9990	16	12	16	40	33	40	     0	     0	     0	11C(57.0214), 15M(15.9949), 17M(15.9949), 1M(15.9949), 3M(15.9949), 8C(57.0214)		
sp|P46412|GPX3_MOUSE	P46412	GPX3_MOUSE	Gpx3	226	Mus musculus	Glutathione peroxidase 3	1:Experimental evidence at protein level	28.32	1.0000	0.9990	5	0	5	7	0	7	     0	     0	     0	3C(57.0214)		
sp|P46467|VPS4B_MOUSE	P46467	VPS4B_MOUSE	Vps4b	444	Mus musculus	Vacuolar protein sorting-associated protein 4B	1:Experimental evidence at protein level	4.28	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	16C(57.0214)		
sp|P46471|PRS7_MOUSE	P46471	PRS7_MOUSE	Psmc2	433	Mus musculus	26S proteasome regulatory subunit 7	1:Experimental evidence at protein level	44.11	1.0000	0.9990	15	0	15	18	0	18	     0	     0	     0	2C(57.0214), 3C(57.0214)		
sp|P46638|RB11B_MOUSE	P46638	RB11B_MOUSE	Rab11b	218	Mus musculus	Ras-related protein Rab-11B	1:Experimental evidence at protein level	41.28	1.0000	0.9990	7	0	7	8	0	8	     0	     0	     0			
sp|P46662-2|MERL_MOUSE	P46662-2	MERL_MOUSE	Nf2	591	Mus musculus	Isoform 2 of Merlin		2.71	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			sp|P46662|MERL_MOUSE, tr|F8WJ43|F8WJ43_MOUSE
sp|P46664|PURA2_MOUSE	P46664	PURA2_MOUSE	Adss2	456	Mus musculus	Adenylosuccinate synthetase isozyme 2	1:Experimental evidence at protein level	7.02	1.0000	0.9981	4	0	0	8	0	0	     0	     0	     0			
sp|P47199|QOR_MOUSE	P47199	QOR_MOUSE	Cryz	331	Mus musculus	Quinone oxidoreductase	1:Experimental evidence at protein level	38.07	1.0000	0.9990	8	1	8	10	1	10	     0	     0	     0	19C(57.0214)		
sp|P47738|ALDH2_MOUSE	P47738	ALDH2_MOUSE	Aldh2	519	Mus musculus	Aldehyde dehydrogenase, mitochondrial	1:Experimental evidence at protein level	41.43	1.0000	0.9990	18	0	18	27	0	27	     0	     0	     0	13M(15.9949), 14C(57.0214), 3C(57.0214)		
sp|P47754|CAZA2_MOUSE	P47754	CAZA2_MOUSE	Capza2	286	Mus musculus	F-actin-capping protein subunit alpha-2	1:Experimental evidence at protein level	58.39	1.0000	0.9990	11	3	11	28	9	28	     0	     0	     0	10C(57.0214), 11C(57.0214)		
sp|P47757|CAPZB_MOUSE	P47757	CAPZB_MOUSE	Capzb	277	Mus musculus	F-actin-capping protein subunit beta	1:Experimental evidence at protein level	43.68	1.0000	0.9990	11	2	11	15	2	15	     0	     0	     0	11C(57.0214), 2C(57.0214), 5C(57.0214), 6M(15.9949), 7C(57.0214)		
sp|P47791-2|GSHR_MOUSE	P47791-2	GSHR_MOUSE	Gsr	474	Mus musculus	Isoform Cytoplasmic of Glutathione reductase, mitochondrial		5.06	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0	10C(57.0214), 5C(57.0214)		sp|P47791|GSHR_MOUSE
sp|P47802|MTX1_MOUSE	P47802	MTX1_MOUSE	Mtx1	317	Mus musculus	Metaxin-1	1:Experimental evidence at protein level	7.89	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0	2C(57.0214)		tr|A0A6I8MWZ8|A0A6I8MWZ8_MOUSE, tr|Q8R5C0|Q8R5C0_MOUSE
sp|P47809|MP2K4_MOUSE	P47809	MP2K4_MOUSE	Map2k4	397	Mus musculus	Dual specificity mitogen-activated protein kinase kinase 4	1:Experimental evidence at protein level	9.82	1.0000	0.9990	2	1	2	2	1	2	     0	     0	     0			
sp|P47857-2|PFKAM_MOUSE	P47857-2	PFKAM_MOUSE	Pfkm	850	Mus musculus	Isoform 2 of ATP-dependent 6-phosphofructokinase, muscle type		57.29	1.0000	0.9990	35	0	35	101	0	101	     0	     0	     0	10C(57.0214), 14M(15.9949), 18C(57.0214), 19C(57.0214), 1C(57.0214), 1M(15.9949), 22M(15.9949), 38C(57.0214), 41C(57.0214), 4M(15.9949), 6C(57.0214), 6M(15.9949), 7C(57.0214), 7M(15.9949), 9M(15.9949)		sp|P47857-3|PFKAM_MOUSE, sp|P47857|PFKAM_MOUSE
sp|P47911|RL6_MOUSE	P47911	RL6_MOUSE	Rpl6	296	Mus musculus	60S ribosomal protein L6	1:Experimental evidence at protein level	8.11	1.0000	0.9990	2	1	2	3	1	3	     0	     0	     0			
sp|P47915|RL29_MOUSE	P47915	RL29_MOUSE	Rpl29	160	Mus musculus	60S ribosomal protein L29	1:Experimental evidence at protein level	6.88	1.0000	0.9981	1	0	1	1	0	1	     0	     0	     0			tr|A0A1L1SS27|A0A1L1SS27_MOUSE, tr|A0A1L1SUN1|A0A1L1SUN1_MOUSE, tr|W4VSN7|W4VSN7_MOUSE
sp|P47934|CACP_MOUSE	P47934	CACP_MOUSE	Crat	626	Mus musculus	Carnitine O-acetyltransferase	1:Experimental evidence at protein level	30.35	1.0000	0.9990	14	0	14	15	0	15	     0	     0	     0	19C(57.0214), 30C(57.0214), 6C(57.0214)		tr|H7BX88|H7BX88_MOUSE
sp|P47941|CRKL_MOUSE	P47941	CRKL_MOUSE	Crkl	303	Mus musculus	Crk-like protein	1:Experimental evidence at protein level	31.35	1.0000	0.9990	6	1	6	9	1	9	     0	     0	     0	5C(57.0214)		
sp|P47955|RLA1_MOUSE	P47955	RLA1_MOUSE	Rplp1	114	Mus musculus	60S acidic ribosomal protein P1	1:Experimental evidence at protein level	51.75	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	12C(57.0214)		
sp|P47962|RL5_MOUSE	P47962	RL5_MOUSE	Rpl5	297	Mus musculus	60S ribosomal protein L5	1:Experimental evidence at protein level	30.30	1.0000	0.9990	7	2	7	10	3	10	     0	     0	     0	11C(57.0214), 4C(57.0214), 8C(57.0214)		
sp|P47963|RL13_MOUSE	P47963	RL13_MOUSE	Rpl13	211	Mus musculus	60S ribosomal protein L13	1:Experimental evidence at protein level	21.80	1.0000	0.9990	5	4	5	6	4	6	     0	     0	     0			
sp|P47968|RPIA_MOUSE	P47968	RPIA_MOUSE	Rpia	303	Mus musculus	Ribose-5-phosphate isomerase	1:Experimental evidence at protein level	24.09	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	8C(57.0214)		
sp|P48024|EIF1_MOUSE	P48024	EIF1_MOUSE	Eif1	113	Mus musculus	Eukaryotic translation initiation factor 1	1:Experimental evidence at protein level	12.39	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|P48036|ANXA5_MOUSE	P48036	ANXA5_MOUSE	Anxa5	319	Mus musculus	Annexin A5	1:Experimental evidence at protein level	52.98	1.0000	0.9990	18	3	18	29	4	29	     0	     0	     0	14M(15.9949), 9M(15.9949)		
sp|P48193|EPB41_MOUSE	P48193	EPB41_MOUSE	Epb41	858	Mus musculus	Protein 4.1	1:Experimental evidence at protein level	1.17	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			tr|A2A838|A2A838_MOUSE, tr|A2A839|A2A839_MOUSE, tr|A2A841|A2A841_MOUSE
sp|P48453-2|PP2BB_MOUSE	P48453-2	PP2BB_MOUSE	Ppp3cb	524	Mus musculus	Isoform 1 of Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform		5.92	1.0000	0.9990	3	0	0	4	0	0	     0	     0	     0			sp|P48453|PP2BB_MOUSE, tr|E0CZ78|E0CZ78_MOUSE
sp|P48678|LMNA_MOUSE	P48678	LMNA_MOUSE	Lmna	665	Mus musculus	Prelamin-A/C	1:Experimental evidence at protein level	62.86	1.0000	0.9990	42	4	42	76	9	76	     0	     0	     0	13M(15.9949), 1M(15.9949), 4C(57.0214), 5M(15.9949), 7C(57.0214), 7M(15.9949)		
sp|P48722-2|HS74L_MOUSE	P48722-2	HS74L_MOUSE	Hspa4l	817	Mus musculus	Isoform 2 of Heat shock 70 kDa protein 4L		3.67	1.0000	0.9989	2	0	0	3	0	0	     0	     0	     0			sp|P48722|HS74L_MOUSE, tr|E0CY23|E0CY23_MOUSE
sp|P48758|CBR1_MOUSE	P48758	CBR1_MOUSE	Cbr1	277	Mus musculus	Carbonyl reductase [NADPH] 1	1:Experimental evidence at protein level	51.62	1.0000	0.9990	11	3	11	17	4	17	     0	     0	     0	6C(57.0214), 7C(57.0214)		
sp|P48771|CX7A2_MOUSE	P48771	CX7A2_MOUSE	Cox7a2	83	Mus musculus	Cytochrome c oxidase subunit 7A2, mitochondrial	1:Experimental evidence at protein level	15.66	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|P48774|GSTM5_MOUSE	P48774	GSTM5_MOUSE	Gstm5	224	Mus musculus	Glutathione S-transferase Mu 5	1:Experimental evidence at protein level	29.91	1.0000	0.9990	6	0	5	7	0	5	     0	     0	     0	3C(57.0214)		
sp|P48962|ADT1_MOUSE	P48962	ADT1_MOUSE	Slc25a4	298	Mus musculus	ADP/ATP translocase 1	1:Experimental evidence at protein level	59.06	1.0000	0.9990	18	9	18	45	21	45	     0	     0	     0	12C(57.0214), 13C(57.0214), 18C(57.0214), 2M(15.9949), 5M(15.9949), 8C(57.0214)		
sp|P49138|MAPK2_MOUSE	P49138	MAPK2_MOUSE	Mapkapk2	386	Mus musculus	MAP kinase-activated protein kinase 2	1:Experimental evidence at protein level	3.11	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|P49182|HEP2_MOUSE	P49182	HEP2_MOUSE	Serpind1	478	Mus musculus	Heparin cofactor 2	1:Experimental evidence at protein level	10.88	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0			
sp|P49312|ROA1_MOUSE	P49312	ROA1_MOUSE	Hnrnpa1	320	Mus musculus	Heterogeneous nuclear ribonucleoprotein A1	1:Experimental evidence at protein level	33.44	1.0000	0.9990	7	0	6	12	0	8	     0	     0	     0	12C(57.0214)		tr|Q5EBP8|Q5EBP8_MOUSE
sp|P49443|PPM1A_MOUSE	P49443	PPM1A_MOUSE	Ppm1a	382	Mus musculus	Protein phosphatase 1A	1:Experimental evidence at protein level	5.76	1.0000	0.9990	2	0	0	2	0	0	     0	     0	     0			
sp|P49710|HCLS1_MOUSE	P49710	HCLS1_MOUSE	Hcls1	486	Mus musculus	Hematopoietic lineage cell-specific protein	1:Experimental evidence at protein level	3.29	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|P49722|PSA2_MOUSE	P49722	PSA2_MOUSE	Psma2	234	Mus musculus	Proteasome subunit alpha type-2	1:Experimental evidence at protein level	63.25	1.0000	0.9990	11	3	11	22	6	22	     0	     0	     0	17C(57.0214), 9M(15.9949)		
sp|P49813|TMOD1_MOUSE	P49813	TMOD1_MOUSE	Tmod1	359	Mus musculus	Tropomodulin-1	1:Experimental evidence at protein level	48.19	1.0000	0.9990	13	12	12	23	19	19	     0	     0	     0			
sp|P49817|CAV1_MOUSE	P49817	CAV1_MOUSE	Cav1	178	Mus musculus	Caveolin-1	1:Experimental evidence at protein level	10.11	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			
sp|P50171-2|DHB8_MOUSE	P50171-2	DHB8_MOUSE	Hsd17b8	274	Mus musculus	Isoform Long of (3R)-3-hydroxyacyl-CoA dehydrogenase		47.81	1.0000	0.9990	8	0	8	13	0	13	     0	     0	     0	11C(57.0214), 19C(57.0214), 8C(57.0214)		sp|P50171|DHB8_MOUSE, tr|G3UX44|G3UX44_MOUSE
sp|P50247|SAHH_MOUSE	P50247	SAHH_MOUSE	Ahcy	432	Mus musculus	Adenosylhomocysteinase	1:Experimental evidence at protein level	27.55	1.0000	0.9990	11	10	11	15	13	15	     0	     0	     0			
sp|P50396|GDIA_MOUSE	P50396	GDIA_MOUSE	Gdi1	447	Mus musculus	Rab GDP dissociation inhibitor alpha	1:Experimental evidence at protein level	48.77	1.0000	0.9990	13	6	10	25	11	16	     0	     0	     0	4C(57.0214), 6C(57.0214), 9C(57.0214)		
sp|P50431|GLYC_MOUSE	P50431	GLYC_MOUSE	Shmt1	478	Mus musculus	Serine hydroxymethyltransferase, cytosolic	1:Experimental evidence at protein level	7.74	1.0000	0.9990	3	0	3	3	0	3	     0	     0	     0	5C(57.0214), 9C(57.0214)		tr|G3UZ26|G3UZ26_MOUSE
sp|P50446|K2C6A_MOUSE	P50446	K2C6A_MOUSE	Krt6a	553	Mus musculus	Keratin, type II cytoskeletal 6A	1:Experimental evidence at protein level	34.72	1.0000	0.9990	34	3	20	90	7	37	     0	     0	     0	2C(57.0214), 3C(57.0214)		
sp|P50462|CSRP3_MOUSE	P50462	CSRP3_MOUSE	Csrp3	194	Mus musculus	Cysteine and glycine-rich protein 3	1:Experimental evidence at protein level	34.02	1.0000	0.9990	5	2	5	6	3	6	     0	     0	     0	10C(57.0214), 16C(57.0214), 17C(57.0214)		
sp|P50516|VATA_MOUSE	P50516	VATA_MOUSE	Atp6v1a	617	Mus musculus	V-type proton ATPase catalytic subunit A	1:Experimental evidence at protein level	7.29	1.0000	0.9990	3	0	3	3	0	3	     0	     0	     0			
sp|P50518|VATE1_MOUSE	P50518	VATE1_MOUSE	Atp6v1e1	226	Mus musculus	V-type proton ATPase subunit E 1	1:Experimental evidence at protein level	11.95	1.0000	0.9990	2	1	2	3	1	3	     0	     0	     0			
sp|P50543|S10AB_MOUSE	P50543	S10AB_MOUSE	S100a11	98	Mus musculus	Protein S100-A11	1:Experimental evidence at protein level	34.69	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	1C(57.0214)		
sp|P50544|ACADV_MOUSE	P50544	ACADV_MOUSE	Acadvl	656	Mus musculus	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	1:Experimental evidence at protein level	62.80	1.0000	0.9990	35	1	35	98	8	98	     0	     0	     0	10M(15.9949), 11C(57.0214), 15M(15.9949), 3C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214), 9M(15.9949)		
sp|P50580|PA2G4_MOUSE	P50580	PA2G4_MOUSE	Pa2g4	394	Mus musculus	Proliferation-associated protein 2G4	1:Experimental evidence at protein level	35.28	1.0000	0.9990	12	2	12	16	3	16	     0	     0	     0	16C(57.0214), 3M(15.9949), 5C(57.0214)		
sp|P50608|FMOD_MOUSE	P50608	FMOD_MOUSE	Fmod	376	Mus musculus	Fibromodulin	2:Experimental evidence at transcript level	38.83	1.0000	0.9990	11	11	11	48	48	48	     0	     0	     0	10C(57.0214), 11C(57.0214), 16M(15.9949), 18C(57.0214), 2C(57.0214), 3M(15.9949), 6C(57.0214), 8C(57.0214)		
sp|P51125-2|ICAL_MOUSE	P51125-2	ICAL_MOUSE	Cast	769	Mus musculus	Isoform 2 of Calpastatin		10.27	1.0000	0.9990	4	0	4	5	0	5	     0	     0	     0			sp|P51125-3|ICAL_MOUSE, sp|P51125-6|ICAL_MOUSE, sp|P51125|ICAL_MOUSE, tr|A0A338P6J9|A0A338P6J9_MOUSE, tr|Q8CE80|Q8CE80_MOUSE
sp|P51150|RAB7A_MOUSE	P51150	RAB7A_MOUSE	Rab7a	207	Mus musculus	Ras-related protein Rab-7a	1:Experimental evidence at protein level	43.96	1.0000	0.9990	7	3	7	10	5	10	     0	     0	     0	4C(57.0214), 5C(57.0214)		
sp|P51410|RL9_MOUSE	P51410	RL9_MOUSE	Rpl9	192	Mus musculus	60S ribosomal protein L9	1:Experimental evidence at protein level	41.15	1.0000	0.9990	5	0	5	6	0	6	     0	     0	     0	3C(57.0214), 5C(57.0214)		tr|A0A140T8T4|A0A140T8T4_MOUSE
sp|P51660|DHB4_MOUSE	P51660	DHB4_MOUSE	Hsd17b4	735	Mus musculus	Peroxisomal multifunctional enzyme type 2	1:Experimental evidence at protein level	12.52	1.0000	0.9990	7	7	7	9	9	9	     0	     0	     0	7C(57.0214)		
sp|P51667|MLRV_MOUSE	P51667	MLRV_MOUSE	Myl2	166	Mus musculus	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform	1:Experimental evidence at protein level	85.54	1.0000	0.9990	16	3	16	70	27	70	     0	     0	     0	11M(15.9949), 12M(15.9949), 14M(15.9949), 21K(156.1151), 2M(15.9949), 6M(15.9949), 7M(15.9949)		
sp|P51855|GSHB_MOUSE	P51855	GSHB_MOUSE	Gss	474	Mus musculus	Glutathione synthetase	1:Experimental evidence at protein level	3.59	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			tr|Q3UEE2|Q3UEE2_MOUSE
sp|P51859|HDGF_MOUSE	P51859	HDGF_MOUSE	Hdgf	237	Mus musculus	Hepatoma-derived growth factor	1:Experimental evidence at protein level	32.91	1.0000	0.9990	5	1	5	7	3	7	     0	     0	     0	4M(15.9949)		
sp|P51881|ADT2_MOUSE	P51881	ADT2_MOUSE	Slc25a5	298	Mus musculus	ADP/ATP translocase 2	1:Experimental evidence at protein level	38.59	1.0000	0.9986	11	2	2	27	3	3	     0	     0	     0			
sp|P51885|LUM_MOUSE	P51885	LUM_MOUSE	Lum	338	Mus musculus	Lumican	1:Experimental evidence at protein level	38.76	1.0000	0.9990	12	12	12	39	39	39	     0	     0	     0	12M(15.9949), 18C(57.0214)		
sp|P52196|THTR_MOUSE	P52196	THTR_MOUSE	Tst	297	Mus musculus	Thiosulfate sulfurtransferase	1:Experimental evidence at protein level	20.88	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	11C(57.0214)		
sp|P52430|PON1_MOUSE	P52430	PON1_MOUSE	Pon1	355	Mus musculus	Serum paraoxonase/arylesterase 1	1:Experimental evidence at protein level	2.25	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			tr|H3BK03|H3BK03_MOUSE
sp|P52480-2|KPYM_MOUSE	P52480-2	KPYM_MOUSE	Pkm	531	Mus musculus	Isoform M1 of Pyruvate kinase PKM		86.06	1.0000	0.9990	53	4	53	378	39	378	     0	     0	     0	11M(15.9949), 12M(15.9949), 13M(15.9949), 14M(15.9949), 15M(15.9949), 16C(57.0214), 18M(15.9949), 1C(57.0214), 1M(15.9949), 20M(15.9949), 21M(15.9949), 29M(15.9949), 30C(57.0214), 3M(15.9949), 4C(57.0214), 4M(15.9949), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7C(57.0214), 8M(15.9949), 9M(15.9949)		
sp|P52480|KPYM_MOUSE	P52480	KPYM_MOUSE	Pkm	531	Mus musculus	Pyruvate kinase PKM	1:Experimental evidence at protein level	83.43	1.0000	0.9990	52	3	3	342	3	3	     0	     0	     0			
sp|P52503|NDUS6_MOUSE	P52503	NDUS6_MOUSE	Ndufs6	116	Mus musculus	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	1:Experimental evidence at protein level	64.66	1.0000	0.9990	7	1	7	12	2	12	     0	     0	     0	4C(57.0214), 7C(57.0214)		
sp|P52760|RIDA_MOUSE	P52760	RIDA_MOUSE	Rida	135	Mus musculus	2-iminobutanoate/2-iminopropanoate deaminase	1:Experimental evidence at protein level	11.85	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0			
sp|P52825|CPT2_MOUSE	P52825	CPT2_MOUSE	Cpt2	658	Mus musculus	Carnitine O-palmitoyltransferase 2, mitochondrial	1:Experimental evidence at protein level	26.29	1.0000	0.9990	12	8	12	17	12	17	     0	     0	     0	12C(57.0214)		
sp|P53395|ODB2_MOUSE	P53395	ODB2_MOUSE	Dbt	482	Mus musculus	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	1:Experimental evidence at protein level	45.44	1.0000	0.9990	17	16	17	31	29	31	     0	     0	     0	20C(57.0214), 4M(15.9949), 7C(57.0214)		
sp|P53810|PIPNA_MOUSE	P53810	PIPNA_MOUSE	Pitpna	271	Mus musculus	Phosphatidylinositol transfer protein alpha isoform	1:Experimental evidence at protein level	61.62	1.0000	0.9990	16	1	16	23	1	23	     0	     0	     0	1M(15.9949), 2C(57.0214), 4C(57.0214), 6C(57.0214), 8C(57.0214)		
sp|P53811|PIPNB_MOUSE	P53811	PIPNB_MOUSE	Pitpnb	271	Mus musculus	Phosphatidylinositol transfer protein beta isoform	1:Experimental evidence at protein level	9.23	1.0000	0.9990	3	0	0	3	0	0	     0	     0	     0			tr|Q8JZZ5|Q8JZZ5_MOUSE
sp|P53994|RAB2A_MOUSE	P53994	RAB2A_MOUSE	Rab2a	212	Mus musculus	Ras-related protein Rab-2A	1:Experimental evidence at protein level	25.00	1.0000	0.9990	4	2	4	6	4	6	     0	     0	     0			
sp|P54071|IDHP_MOUSE	P54071	IDHP_MOUSE	Idh2	452	Mus musculus	Isocitrate dehydrogenase [NADP], mitochondrial	1:Experimental evidence at protein level	55.09	1.0000	0.9990	28	14	28	99	51	99	     0	     0	     0	11M(15.9949), 13M(15.9949), 14C(57.0214), 1C(57.0214), 2C(57.0214), 5C(57.0214), 5M(15.9949), 8M(15.9949), 9C(57.0214)		
